timestamp,dl_thr_s1,ul_thr_s1,dl_thr_s2,ul_thr_s2,dl_alloc_s1,dl_alloc_s2,ul_alloc_s1,ul_alloc_s2
2025-07-30 09:42:30.205,3912.0,6904.0,3744.0,6080.0,0.5647,0.4353,0.6029,0.3971
2025-07-30 09:42:32.253,3112.0,4856.0,2528.0,4032.0,0.5778,0.4222,0.6146,0.3854
2025-07-30 09:42:34.290,3304.0,5880.0,3112.0,4032.0,0.613,0.387,0.6471,0.3529
2025-07-30 09:42:36.337,2696.0,4856.0,1920.0,3880.0,0.6386,0.3614,0.6678,0.3322
2025-07-30 09:42:38.378,3912.0,6904.0,3136.0,5928.0,0.6002,0.3998,0.6349,0.3651
2025-07-30 09:42:40.418,2696.0,4856.0,2528.0,4904.0,0.5272,0.4728,0.5683,0.4317
2025-07-30 09:42:42.464,119240.0,32135232.0,2528.0,4904.0,0.7947,0.2053,0.7901,0.2099
2025-07-30 09:42:44.504,128328.0,65848016.0,3720.0,5056.0,0.7948,0.2052,0.7913,0.2087
2025-07-30 09:42:46.542,137672.0,90549440.0,3136.0,6800.0,0.7944,0.2056,0.7911,0.2089
2025-07-30 09:42:48.588,125192.0,110440584.0,1920.0,3880.0,0.7945,0.2055,0.7904,0.2096
2025-07-30 09:42:50.643,119560.0,105042248.0,1920.0,3880.0,0.7952,0.2048,0.7917,0.2083
2025-07-30 09:42:52.683,99816.0,70350560.0,1920.0,3880.0,0.7947,0.2053,0.791,0.209
2025-07-30 09:42:54.723,119368.0,97469968.0,3136.0,5928.0,0.7945,0.2055,0.7907,0.2093
2025-07-30 09:42:56.765,125960.0,111670016.0,2528.0,4904.0,0.7953,0.2047,0.7918,0.2082
2025-07-30 09:42:58.810,120616.0,87339904.0,2528.0,4904.0,0.7953,0.2047,0.7921,0.2079
2025-07-30 09:43:00.854,132264.0,110624512.0,2528.0,4904.0,0.7946,0.2054,0.7911,0.2089
2025-07-30 09:43:02.890,108968.0,90052456.0,2528.0,4904.0,0.7948,0.2052,0.7916,0.2084
2025-07-30 09:43:04.926,190216.0,106475960.0,2528.0,4904.0,0.7954,0.2046,0.792,0.208
2025-07-30 09:43:06.971,147048.0,101935736.0,1920.0,3880.0,0.7946,0.2054,0.7909,0.2091
2025-07-30 09:43:09.024,102824.0,72584176.0,1920.0,3880.0,0.7953,0.2047,0.7917,0.2083
2025-07-30 09:43:11.066,138504.0,94245112.0,2528.0,4904.0,0.7945,0.2055,0.791,0.209
2025-07-30 09:43:13.116,139464.0,102282616.0,1920.0,3880.0,0.7947,0.2053,0.7911,0.2089
2025-07-30 09:43:15.165,127272.0,109370904.0,2528.0,4904.0,0.7951,0.2049,0.7914,0.2086
